name,ring,quadrant,isNew,description
Spring-Boot,adopt,frameworks,FALSE,<p>Java framework</p>
Quarkus,assess,frameworks,FALSE,<p>Java framework</p>
Spring-Cloud,trial,frameworks,FALSE,<p>Java framework</p>
Arrow SQL,assess,frameworks,FALSE,<p>Java framework</p>
Asp.Net,trial,frameworks,FALSE,<p> .Net framework </p>
FastAPI,adopt,frameworks,FALSE,<p>Python Framework</p>
Flask,adopt,frameworks,FALSE,<p>Python Framework</p>
Tornado,trial,frameworks,FALSE,<p>Python Framework</p>
Django,trial,frameworks,FALSE,<p>Python Framework</p>
ExpressJS,adopt,frameworks,FALSE,<p>Node framework </p>
Hapi,assess,frameworks,FALSE,<p>Node framework </p>
NodeJS,adopt,frameworks,FALSE,<p> JS runtime </p>
Laravel,trial,frameworks,FALSE,<P>PHP framework </p>
WordPress,trial,frameworks,FALSE,<P>PHP framework </p>
CodeIgnitor,hold,frameworks,FALSE,<P>PHP framework </p>
RoR,trial,frameworks,FALSE,<P> Ruby Framework </p>
Gin,assess,frameworks,FALSE,<P>Go framework</p>
Angular,adopt,frameworks,FALSE,<p> UI Framework </p>
React,adopt,frameworks,FALSE,<p> UI Framework </p>
Vue,trial,frameworks,FALSE,<p> UI Framework </p>
ExtJS,trial,frameworks,FALSE,<p> UI Framework </p>
Redux,trial,frameworks,FALSE,<p> UI Framework </p>
jQuery,hold,frameworks,FALSE,<p> UI Framework </p>
NgRx,trial,frameworks,FALSE,<p> UI Framework </p>
Svelte,assess,frameworks,FALSE,<p> UI Framework </p>
Flutter,adopt,frameworks,FALSE,<p> Hybrid mobile development framework </p>
ReactNative,adopt,frameworks,FALSE,<p> Hybrid mobile development framework </p>
Xamarin,hold,frameworks,FALSE,<p> Hybrid mobile development framework </p>
ionic,hold,frameworks,FALSE,<p> Hybrid mobile development framework </p>
Kibana,adopt,frameworks,FALSE,"<p>Kibana https://www.elastic.co/kibana/ is an opensource interactive visualization tool for Elastic data, we have leveraged it as part of elk stack for cloud agnostic logging and monitoring </p>"
Graphana,adopt,frameworks,FALSE,<p>Graphana is an opensource https://grafana.com/oss/ monitoring and analytics platform. We have used it with prometheus extensively and would leverage it for cloud agnostic monitoring </p>
Helm,adopt,frameworks,FALSE,<p>Package Manager for Kubernetes </p>
Kuberntes Operators,trial,frameworks,FALSE,"<p>Kubernetes operators https://kubernetes.io/docs/concepts/extend-kubernetes/operator/ are software extensions to kubernetes which help in operational excellence specially in maintaining kubernetes clusters for complex applications and their components . We have leveraged 3rd party operators and appreciate the advantages specially w.r.t upgrades/backups among others, we would choose operators along with Helm based on the necessity </p>"
Tekton,assess,frameworks,FALSE,"<p>Tekton is a cloud native CI/CD tool , we would like to explore to see where it fits w.r.t existing CI/CD tools being used </p>"
LocalStack,trial,frameworks,FALSE,"<p>LocalStack is a fully functional local cloud stack, it helps in setting up developing and testing serverless and cloud infrastructure locally. There are limitations w.r.t EKS in the community edition, hence we would leverage it when applicable to save cloud costs</p>"
Kubernetes - Traefik Controller,assess,frameworks,FALSE,"<p> Traefik https://traefik.io/traefik/ provides cloud native networking platform, would like to explore as an alternate to Ingress controller </p>"
Kops,assess,frameworks,FALSE,<p>Kops kOps https://kops.sigs.k8s.io/ - Kubernetes Operations used by kubernetes internally calls itself the easiest way to get a production grade Kubernetes cluster up and running. We would like to explore it </p>
KeyCloak,trial,frameworks,FALSE,"<p>Keycloak https://www.keycloak.org/ is an open source identity and access management solution. It has dmin console to manage users, support for  standard protocols, SSO, user federation and role based authorization . It also supports fine-grained authorization useful for microservices development. We have used it across projects and would is one of our go-to security frameworks </p>"
Jenkins X,assess,frameworks,FALSE,<p>Jenkins X https://jenkins-x.io/ is a Cloud Native CI/CD platform . We would like to explore it as an alternate to exising CI/CD tools</p>
GetX,trial,frameworks,FALSE,<p>GetX https://pub.dev/packages/get   is a light-weight high performant state management framework for Flutter. We have leveraged it in one of our projects and would use it based on the ecosystem </p>
Spark,adopt,frameworks,FALSE,<p>Spark  https://spark.apache.org/ is an engine for large scale analytics. We have leveraged Spark SQL and Spark MLLib across projects. We will use it based on the necessity </p>
Superset,trial,frameworks,FALSE,<p> Superset is modern https://superset.apache.org/ data exploration and visualization platform. It intregrates with lots of databases and provides no-code rich visualizations. We have leveraged it for few of our projects and would select it based on the ecosystem </p>
Hadoop,trial,frameworks,FALSE,"<p>Hadoop https://hadoop.apache.org/ provides framework for distributed processing. We have worked with tools and softwares built leveraging Hadoop.  With Hadoop being also supported by cloud providers for running map/reduce jobs, we will leverage Hadoop based on the ecosystem </p>"
Junit,adopt,frameworks,FALSE,<p>Java Unit testing library </p>
Mockito,adopt,frameworks,FALSE,<p>Java Unit testing library </p>
EasyMock,trial,frameworks,FALSE,<p>Java Unit testing library </p>
Cypress,trial,frameworks,FALSE,<p> End to End testing library for web applications</p>
Playwright,assess,frameworks,TRUE,<p>End to End testing library for web applications </p>
Selenium,adopt,frameworks,FALSE,<p> End to End testing library for web applications.</p>
Proctractor,adopt,frameworks,FALSE,<p> End to End testing library for web applications</p>
